arm,model,ctx,quant,decode_mean_tps,decode_median_tps,prefill20k_tps,draft_acceptance
baseline,Qwen3.8-27B,262144,Q5_K_XL,11.8,11.8,354,
n2_gated_0.75,Qwen3.8-27B,262144,Q5_K_XL,21.1,21.1,300,0.73-0.94
n4_gated_0.75,Qwen3.8-27B,262144,Q5_K_XL,22.6,22.6,295,0.68-0.87
n6_gated_0.75,Qwen3.8-27B,262144,Q5_K_XL,21.1,21.1,290,0.63-0.81
n6_gated_0.60,Qwen3.8-27B,262144,Q5_K_XL,20.1,20.1,290,0.46-0.74
baseline,Qwen3.6-27B,262144,Q5_K_XL,12.0,12.0,372,
n2_gated_0.75,Qwen3.6-27B,262144,Q5_K_XL,20.2,21.4,324,
n4_gated_0.75,Qwen3.6-27B,262144,Q5_K_XL,21.4,21.0,317,
n6_gated_0.75,Qwen3.6-27B,262144,Q5_K_XL,22.2,24.3,304,0.93
baseline,Qwen3.6-35B-A3B-MoE,262144,Q5_K_XL,49.6,49.5,1486,
n2_gated_0.75,Qwen3.6-35B-A3B-MoE,262144,Q5_K_XL,66.3,69.3,1242,
n4_gated_0.75,Qwen3.6-35B-A3B-MoE,262144,Q5_K_XL,67.1,69.6,1229,0.93
n6_gated_0.75,Qwen3.6-35B-A3B-MoE,262144,Q5_K_XL,66.8,70.4,1215,0.87
baseline,Qwen3.5-9B,65536,Q5_K_XL,34.2,34.2,1140,
n2_gated_0.75,Qwen3.5-9B,65536,Q5_K_XL,46.1,45.4,941,
n4_gated_0.75,Qwen3.5-9B,65536,Q5_K_XL,46.8,45.8,941,0.89
baseline,Qwen3.5-4B,65536,Q5_K_XL,53.8,53.7,1615,
n2_gated_0.75,Qwen3.5-4B,65536,Q5_K_XL,67.5,69.1,1320,0.91
n4_gated_0.75,Qwen3.5-4B,65536,Q5_K_XL,66.3,65.9,1318,
