arm,model,ctx,quant,kv_cache,decode_mean_tps,decode_median_tps,prefill20k_tps,draft_acceptance
baseline,Qwen3.8-27B,262144,Q5_K_XL,q4_0,69.6,69.6,3200,
n2_gated_0.75,Qwen3.8-27B,262144,Q5_K_XL,q4_0,125.3,125.3,3200,
n4_gated_0.75,Qwen3.8-27B,262144,Q5_K_XL,q4_0,139.2,139.2,3200,0.832
n6_gated_0.75,Qwen3.8-27B,262144,Q5_K_XL,q4_0,146.7,146.7,3200,0.790
n4_ungated,Qwen3.8-27B,262144,Q5_K_XL,q4_0,150.3,150.3,3200,0.603
baseline,Qwen3.6-27B,262144,Q5_K_XL,q4_0,69.5,69.5,3524,
n2_gated_0.75,Qwen3.6-27B,262144,Q5_K_XL,q4_0,119.5,121.0,3313,
n4_gated_0.75,Qwen3.6-27B,262144,Q5_K_XL,q4_0,140.6,133.5,3299,
n6_gated_0.75,Qwen3.6-27B,262144,Q5_K_XL,q4_0,143.1,138.9,3284,0.90
n4_ungated,Qwen3.6-27B,262144,Q5_K_XL,q4_0,162.9,160.5,3302,0.653
baseline,Qwen3.6-35B-A3B-MoE,262144,Q5_K_XL,q4_0,271.9,270.3,11606,
n2_gated_0.75,Qwen3.6-35B-A3B-MoE,262144,Q5_K_XL,q4_0,233.9,230.1,9896,
n4_gated_0.75,Qwen3.6-35B-A3B-MoE,262144,Q5_K_XL,q4_0,272.9,258.1,9923,
n6_gated_0.75,Qwen3.6-35B-A3B-MoE,262144,Q5_K_XL,q4_0,278.0,297.5,9875,0.85
n4_ungated,Qwen3.6-35B-A3B-MoE,262144,Q5_K_XL,q4_0,307.5,288.7,9920,0.623
baseline,Qwen3.5-9B,65536,Q5_K_XL,q4_0,202.7,202.4,11514,
n2_gated_0.75,Qwen3.5-9B,65536,Q5_K_XL,q4_0,267.0,264.2,10182,
n4_gated_0.75,Qwen3.5-9B,65536,Q5_K_XL,q4_0,274.0,276.7,10171,0.934
baseline,Qwen3.5-4B,65536,Q5_K_XL,q4_0,302.3,302.1,16331,
n2_gated_0.75,Qwen3.5-4B,65536,Q5_K_XL,q4_0,360.4,350.7,14088,
n4_gated_0.75,Qwen3.5-4B,65536,Q5_K_XL,q4_0,363.7,357.2,14072,0.915
